"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Clayton Richard","Padres","1","1","0","4","4","22.0","6.55","4.09","1.64",".328","72.4 %","50.7 %","22.2 %","5.73","5.34","4.21","-0.1","3551"
"Dillon Peters","Marlins","2","1","0","3","3","14.2","4.91","3.68","1.84",".327","68.8 %","40.0 %","16.7 %","6.75","6.06","5.26","-0.1","18790"
"Austin Pruitt","Rays","1","2","0","5","0","14.2","4.91","3.07","1.23",".250","55.6 %","44.9 %","9.5 %","4.91","4.77","5.16","-0.1","15290"
"Kyle Hendricks","Cubs","0","1","0","3","3","17.0","6.88","3.71","2.12",".264","93.1 %","42.9 %","20.0 %","3.71","6.01","4.72","-0.2","12049"
"Mike Leake","Mariners","2","0","0","3","3","18.0","4.00","4.50","1.50",".211","85.9 %","41.7 %","12.5 %","3.50","5.84","5.69","-0.2","10130"
"Sal Romano","Reds","0","1","0","3","3","15.1","4.11","5.28","1.76",".245","67.3 %","52.7 %","15.0 %","5.87","6.46","5.88","-0.2","13690"
"Steven Matz","Mets","1","1","0","3","3","14.1","10.67","4.40","2.51",".194","80.7 %","46.9 %","30.8 %","3.77","5.99","3.74","-0.2","13361"
"Cole Hamels","Rangers","1","2","0","4","4","22.0","12.27","4.50","2.86",".320","86.8 %","45.6 %","35.0 %","4.50","5.97","3.21","-0.2","4972"
"Felix Hernandez","Mariners","2","1","0","3","3","15.0","4.80","4.80","2.40",".217","67.1 %","43.8 %","20.0 %","6.60","7.06","5.61","-0.3","4772"
"Kendall Graveman","Athletics","0","3","0","4","4","17.1","5.19","3.63","3.12",".361","61.6 %","49.3 %","26.1 %","9.87","7.80","5.30","-0.5","15514"
