playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Yoshihisa Hirano,ARI,NL,75,0,3,2,0,0,0,0,0,59,55,0,24,7,21,54,673633,19756,0,75,RP
Eric Hanhold,NYM,NL,3,0,0,0,0,0,0,0,0,5,5,0,2,1,2,5,621098,18332,0,3,RP
Alex Reyes,STL,NL,1,16,6,6,0,0,0,0,0,95,82,0,41,11,42,99,621052,15015,1,0,SP
Andrew Heaney,LAA,AL,30,29,10,9,0,0,0,0,0,171,164,0,73,25,45,172,571760,15423,30,0,SP
Luis Castillo,CIN,NL,31,31,12,10,0,0,0,0,0,176,162,0,71,24,52,176,622491,15689,31,0,SP
Shawn Armstrong,SEA,AL,14,0,2,2,0,0,0,0,0,52,44,0,21,5,24,58,542888,12857,0,14,RP
James Pazos,PHI,AL,60,0,2,1,0,0,0,0,0,35,33,0,15,4,14,37,572021,13323,0,60,RP
Tyler Glasnow,TB,NL,34,26,8,9,0,0,0,0,0,145,121,0,62,18,67,172,607192,14374,0,34,Relief Pitcher
J.B. Wendelken,OAK,AL,13,0,1,1,0,0,0,0,0,30,26,0,12,4,12,31,605525,14506,0,13,RP
Michael Pineda,MIN,,21,21,8,7,0,0,0,0,0,116,119,0,55,16,30,112,501381,5372,0,0,SP
Tanner Anderson,OAK,NL,6,0,0,0,0,0,0,0,0,8,8,0,4,1,3,5,664196,18029,0,6,RP
Dylan Floro,LAD,NL,25,0,3,2,0,0,0,0,0,54,55,0,22,6,17,45,571670,13394,0,25,RP
Cam Bedrosian,LAA,AL,71,0,4,3,0,0,0,0,0,56,53,0,25,7,22,55,592135,13360,0,71,RP
Josh Fields,LAD,NL,45,0,2,2,0,0,0,0,0,39,33,0,16,5,12,37,451661,5070,0,45,RP
Phil Maton,SD,NL,45,0,2,2,0,0,0,0,0,48,46,0,22,6,20,54,664208,18064,0,45,RP
Kazuhisa Makita,,,20,0,1,1,0,0,0,0,0,24,24,0,12,2,8,19,,sa594234,0,0,
Justin Miller,WSH,NL,51,0,3,2,0,0,0,0,0,51,47,0,23,7,17,56,502522,8580,0,51,RP
Luke Jackson,ATL,NL,35,0,1,1,0,0,0,0,0,21,19,0,10,2,10,22,592426,11752,0,35,RP
Jacob Barnes,MIL,NL,49,0,2,2,0,0,0,0,0,43,40,0,19,4,19,43,606930,12323,0,49,RP
Alex Wood,CIN,NL,33,27,9,8,0,0,0,0,0,151,147,0,66,18,45,139,622072,13781,27,6,SP
Adam Warren,SD,AL,24,3,3,3,0,0,0,0,0,57,54,0,25,7,21,55,476589,9029,0,24,SP
Cionel Perez,HOU,AL,8,1,2,2,0,0,0,0,0,40,35,0,17,5,16,41,672335,19614,0,8,RP
Jose Berrios,MIN,AL,32,32,14,10,0,0,0,0,0,191,168,0,79,25,61,197,621244,14168,32,0,SP
Jon Edwards,CLE,AL,9,0,1,1,0,0,0,0,0,27,24,0,12,3,13,32,457754,1483,0,9,RP
James Norwood,CHC,NL,11,0,0,0,0,0,0,0,0,10,10,0,5,1,5,10,656803,16440,0,11,RP
Sammy Solis,WSH,NL,56,0,1,2,0,0,0,0,0,35,33,0,18,4,16,40,519301,11457,0,56,Closer
Ryan Weber,TB,AL,2,0,0,1,0,0,0,0,0,9,11,0,4,1,2,4,543901,10160,0,2,RP
Marco Gonzales,SEA,AL,29,30,11,11,0,0,0,0,0,169,174,0,74,22,41,144,594835,15467,29,0,SP
Trevor Richards,MIA,NL,25,25,7,10,0,0,0,0,0,136,130,0,61,17,47,131,670950,19309,25,0,SP
Zack Godley,ARI,NL,33,31,11,12,0,0,0,0,0,175,165,0,81,19,72,173,643327,14862,32,1,SP|RP
Wander Suero,WSH,NL,40,0,2,1,0,0,0,0,0,31,31,0,15,4,11,29,593833,15855,0,40,RP
Marcus Stroman,TOR,AL,19,29,10,10,0,0,0,0,0,172,180,0,79,17,55,137,573186,13431,19,0,SP
Spencer Turnbull,DET,AL,4,6,2,2,0,0,0,0,0,49,50,0,25,6,19,46,605513,16207,3,1,SP
Fernando Rodney,OAK,AL,46,0,3,2,0,0,0,0,0,52,47,0,23,5,25,54,407845,494,0,46,RP
Jonathan Holder,NYY,AL,60,0,2,2,0,0,0,0,0,52,48,0,23,7,16,51,656547,16588,1,59,RP
Andrew Kittredge,TB,AL,33,0,1,1,0,0,0,0,0,11,11,0,5,1,4,10,552640,12828,3,30,
Tyler Skaggs,LAA,AL,24,27,10,8,0,0,0,0,0,148,143,0,65,18,49,144,572140,10190,24,0,SP
Jesus Luzardo,,,19,19,7,6,0,0,0,0,0,107,103,0,47,13,34,98,,sa917981,0,0,
Noe Ramirez,LAA,AL,69,0,3,2,0,0,0,0,0,50,46,0,23,7,18,54,598287,12800,1,68,RP
Mike Morin,SEA,AL,3,0,1,0,0,0,0,0,0,11,12,0,6,1,3,10,573046,13442,0,3,RP
Jose Quijada,,,6,0,0,0,0,0,0,0,0,6,5,0,3,1,3,7,,sa828494,0,0,
Mike Foltynewicz,ATL,NL,31,31,12,10,0,0,0,0,0,179,161,0,76,23,65,187,592314,10811,31,0,SP
