playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Grant Dayton,ATL,NL,29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,594795,11203,0,29,RP
Tyler Webb,MIL,NL,2,0,1,1,0,0,0,0,0,25,23,0,11,3,9,26,643778,14974,0,2,RP
Alec Mills,CHC,,25,0,1,1,0,0,0,0,0,25,24,0,11,3,7,23,621219,13834,0,0,RP
Jon Gray,COL,NL,20,32,12,10,0,0,0,0,0,190,183,0,87,25,64,199,592351,14916,20,0,SP
Aaron Poreda,TEX,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,519145,4313,0,0,RP
Dillon Maples,CHC,NL,6,0,2,1,0,0,0,0,0,30,25,0,12,3,18,34,596027,14672,0,6,
Matt Albers,MIL,NL,63,0,3,3,0,0,0,0,0,55,54,0,24,6,19,52,458006,4300,0,63,RP
Jon Lester,CHC,NL,32,32,13,10,0,0,0,0,0,195,185,0,85,25,60,187,452657,4930,32,0,SP
Adrian Houser,MIL,,10,0,1,0,0,0,0,0,0,10,10,0,4,1,4,10,605288,12718,0,0,RP
Michael Pineda,MIN,AL,17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,501381,5372,17,0,SP
Cam Bedrosian,LAA,AL,48,0,3,3,0,0,0,0,0,65,57,0,27,8,27,69,592135,13360,0,48,RP
Jerry Blevins,NYM,NL,75,0,3,3,0,0,0,0,0,55,48,0,23,7,23,61,460283,7841,0,75,RP
Joe Musgrove,PIT,AL,38,28,9,10,0,0,0,0,0,157,161,0,71,20,42,138,605397,12970,15,23,SP
Tony Watson,SF,NL,24,0,3,3,0,0,0,0,0,55,52,0,23,6,19,50,453265,3132,0,24,RP
Oliver Drake,MIL,AL,3,0,2,2,0,0,0,0,0,35,31,0,15,4,15,38,543118,8823,0,3,RP
Zack Godley,ARI,NL,27,24,9,8,0,0,0,0,0,141,136,0,63,15,55,136,643327,14862,25,1,SP
Dan Otero,CLE,AL,52,0,2,2,0,0,0,0,0,35,38,0,15,4,9,25,519096,7385,0,52,RP
