playerName,team,league,G,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,mlbamID,playerid,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,defaultPos
Scooter Gennett,CIN,NL,141,511,141,23,3,18,63,68,34,114,4,4,2,571697,10339,0,0,99,10,0,9,0,6,15,2B
Wilmer Flores,NYM,NL,110,432,118,22,0,17,55,60,30,69,4,2,1,527038,5827,0,29,12,55,0,0,0,0,0,2B
Ketel Marte,ARI,NL,73,496,132,27,5,12,57,62,56,81,2,17,4,606466,13613,0,0,0,3,64,0,0,0,0,SS
Adam Jones,BAL,AL,147,584,158,24,1,27,77,82,31,116,7,5,1,430945,6368,0,0,0,0,0,0,147,0,147,CF
Ben Gamel,SEA,AL,134,403,110,20,6,10,56,54,35,92,2,6,2,592325,12160,0,1,0,0,0,85,0,50,131,RF
Jonathan Lucroy,OAK,NL,46,472,129,22,3,11,54,58,52,67,4,2,0,518960,7870,44,0,0,0,0,0,0,0,0,C
Ben Zobrist,CHC,NL,128,475,125,21,2,12,57,63,64,74,2,4,2,450314,7435,0,5,81,0,5,36,0,32,61,2B
Yangervis Solarte,TOR,NL,128,429,113,23,2,16,54,59,33,56,5,3,1,500208,5352,0,8,79,22,28,0,0,0,0,2B
C.J. Cron,TB,AL,100,417,110,19,2,18,55,59,26,100,7,3,1,543068,12546,0,98,0,0,0,0,0,0,0,1B
Blake Swihart,BOS,AL,6,194,54,10,1,5,26,26,15,46,1,3,1,596119,13176,4,0,0,0,0,0,0,0,0,LF
Addison Russell,CHC,NL,110,508,128,29,2,20,68,73,49,122,7,5,1,608365,14106,0,0,0,0,101,0,0,0,0,2B
Whit Merrifield,KC,AL,145,641,183,34,4,17,97,69,36,107,5,31,6,593160,11281,0,1,132,1,0,7,0,10,16,2B
Nick Williams,PHI,NL,83,478,128,25,5,17,58,65,29,137,5,8,3,608384,14330,0,0,0,0,0,12,16,58,80,LF
Delino DeShields,TEX,AL,120,553,152,22,5,7,83,49,70,137,4,41,10,592261,11379,0,0,0,0,0,60,51,0,106,LF
Chris Davis,BAL,AL,128,503,111,19,0,31,77,85,65,181,6,1,0,448801,9272,0,125,0,2,0,0,0,0,0,1B
Brian McCann,HOU,AL,97,371,90,12,1,18,60,59,40,67,7,2,0,435263,4810,95,0,0,0,0,0,0,0,0,C
Greg Garcia,STL,NL,133,305,81,10,1,3,37,38,49,71,6,3,1,594824,10951,0,0,34,41,12,0,0,0,0,3B
Jed Lowrie,OAK,AL,153,551,147,35,2,11,69,62,64,96,3,1,0,476704,4418,0,0,136,1,0,0,0,0,0,2B
Adam Frazier,PIT,NL,121,549,159,21,5,6,76,50,49,73,6,13,5,624428,15223,0,0,42,1,1,52,4,15,67,2B
Travis d'Arnaud,NYM,NL,112,400,105,19,1,15,50,55,33,79,4,1,0,518595,7739,93,0,1,1,0,0,0,0,0,C
Christian Vazquez,BOS,AL,99,384,108,22,2,8,55,50,24,76,5,5,1,543877,9774,95,0,0,2,0,0,0,0,0,C
Jorge Polanco,MIN,AL,133,544,147,28,5,15,62,70,45,91,2,14,5,593871,13152,0,0,0,0,130,0,0,0,0,3B
Asdrubal Cabrera,NYM,NL,135,503,135,26,2,14,56,63,46,96,5,4,1,452678,4962,0,0,32,44,45,0,0,0,0,SS
Michael Taylor,WSH,NL,118,496,129,24,3,21,64,68,36,164,2,23,5,572191,11489,0,0,0,0,0,0,111,2,113,CF
Hunter Pence,SF,NL,134,483,130,24,3,14,56,61,40,104,2,4,2,452254,8252,0,0,0,0,0,0,0,125,125,RF
Adam Duvall,CIN,NL,157,512,125,28,3,26,69,77,36,152,8,4,1,594807,10950,0,3,0,0,0,151,0,0,151,1B
Marcus Semien,OAK,AL,85,591,149,27,4,21,87,73,63,138,1,17,3,543760,12533,0,0,0,0,85,0,0,0,0,3B
