playerName,teamLong,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
David Robertson,White Sox,CHW,AL,62,0,3,3,0,0,0,0,0,65,55,0,26,7,25,75,502085,8241,0,62,RP
Josh Hader,Brewers,MIL,NL,22,2,2,2,0,0,0,0,0,29,25,0,11,3,13,35,,sa658473,0,0,
Will Harris,Astros,HOU,AL,66,0,3,2,0,0,0,0,0,55,50,0,22,6,18,57,501789,3192,0,66,RP
James Paxton,Mariners,SEA,AL,20,29,11,9,0,0,0,0,0,171,159,0,66,17,51,161,572020,11828,20,0,SP|RP
Lance McCullers,Astros,HOU,AL,14,26,11,7,0,0,0,0,0,148,126,0,57,14,65,167,621121,14120,14,0,SP
Justin Wilson,Tigers,DET,AL,66,0,3,3,0,0,0,0,0,65,57,0,25,6,24,67,458677,4301,0,66,RP
Andrew Chafin,Diamondbacks,ARI,NL,32,0,3,3,0,0,0,0,0,55,50,0,21,5,22,55,605177,12988,0,32,RP
Matt Bush,Rangers,TEX,AL,58,0,3,3,0,0,0,0,0,65,58,0,25,7,21,68,456713,1246,0,58,RP
Alex Reyes,Cardinals,STL,NL,12,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,621052,15015,5,7,SP
Robbie Ray,Diamondbacks,ARI,NL,32,29,11,9,0,0,0,0,0,168,145,0,66,18,65,189,592662,11486,32,0,SP
Carlos Martinez,Cardinals,STL,NL,33,32,13,11,0,0,0,0,0,199,189,0,79,17,72,190,593372,11682,31,0,SP|RP
Koda Glover,Nationals,WSN,NL,19,0,3,3,0,0,0,0,0,65,60,0,26,7,23,68,606983,17695,0,19,RP
Jaime Garcia,Braves,ATL,NL,32,23,8,8,0,0,0,0,0,130,129,0,52,11,40,115,448802,8137,30,2,SP
Michael Feliz,Astros,HOU,AL,47,0,2,2,0,0,0,0,0,40,34,0,16,4,15,45,593140,11903,0,47,RP
Felix Pena,Cubs,CHC,NL,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,570240,13403,0,11,RP
